date,item,units_sold,price_usd,revenue_usd,promo_flag,holiday_flag,weekend_flag,stockout_flag
2022-02-24 00:00:00,Apples,218,1.28,279.77,0,0,0,0
2022-02-25 00:00:00,Apples,196,1.28,251.45,0,0,0,0
2022-02-26 00:00:00,Apples,206,1.28,264.26,0,0,1,0
2022-02-27 00:00:00,Apples,211,1.28,270.38,0,0,1,0
2022-02-28 00:00:00,Apples,212,1.28,271.59,0,0,0,0
2022-03-01 00:00:00,Apples,227,1.28,290.67,0,0,0,0
2022-03-02 00:00:00,Apples,228,1.28,292.58,0,0,0,0
2022-03-03 00:00:00,Apples,202,1.28,259.37,0,0,0,0
2022-03-04 00:00:00,Apples,196,1.29,251.9,0,0,0,0
2022-03-05 00:00:00,Apples,206,1.28,264.22,0,0,1,0
2022-03-06 00:00:00,Apples,225,1.28,288.68,0,0,1,0
2022-03-07 00:00:00,Apples,203,1.28,260.39,0,0,0,0
2022-03-08 00:00:00,Apples,241,1.28,308.86,0,0,0,0
2022-03-09 00:00:00,Apples,224,1.28,286.85,0,0,0,0
2022-03-10 00:00:00,Apples,221,1.28,283.11,0,0,0,0
2022-03-11 00:00:00,Apples,205,1.28,263.01,0,0,0,0
2022-03-12 00:00:00,Apples,211,1.28,270.94,0,0,1,0
2022-03-13 00:00:00,Apples,204,1.28,262.01,0,0,1,0
2022-03-14 00:00:00,Apples,202,1.29,259.84,0,0,0,0
2022-03-15 00:00:00,Apples,234,1.29,300.97,0,0,0,0
2022-03-16 00:00:00,Apples,238,1.29,305.88,0,0,0,0
2022-03-17 00:00:00,Apples,209,1.28,268.48,0,0,0,0
2022-03-18 00:00:00,Apples,220,1.29,282.73,0,0,0,0
2022-03-19 00:00:00,Apples,207,1.28,265.52,0,0,1,0
2022-03-20 00:00:00,Apples,193,1.28,247.46,0,0,1,0
2022-03-21 00:00:00,Apples,207,1.28,265.67,0,0,0,0
2022-03-22 00:00:00,Apples,230,1.28,294.95,0,0,0,0
2022-03-23 00:00:00,Apples,212,1.28,271.51,0,0,0,0
2022-03-24 00:00:00,Apples,210,1.28,268.32,0,0,0,0
2022-03-25 00:00:00,Apples,212,1.28,270.83,0,0,0,0
2022-03-26 00:00:00,Apples,203,1.28,259.51,0,0,1,0
2022-03-27 00:00:00,Apples,197,1.28,252.29,0,0,1,0
2022-03-28 00:00:00,Apples,210,1.28,269.09,0,0,0,0
2022-03-29 00:00:00,Apples,229,1.28,293.27,0,0,0,0
2022-03-30 00:00:00,Apples,221,1.28,283.29,0,0,0,0
2022-03-31 00:00:00,Apples,222,1.28,284.85,0,0,0,0
2022-04-01 00:00:00,Apples,205,1.28,262.84,0,0,0,0
2022-04-02 00:00:00,Apples,209,1.28,267.61,0,0,1,0
2022-04-03 00:00:00,Apples,214,1.28,274.07,0,0,1,0
2022-04-04 00:00:00,Apples,213,1.28,273.01,0,0,0,0
2022-04-05 00:00:00,Apples,219,1.28,280.64,0,0,0,0
2022-04-06 00:00:00,Apples,221,1.28,282.89,0,0,0,0
2022-04-07 00:00:00,Apples,215,1.28,275.4,0,0,0,0
2022-04-08 00:00:00,Apples,198,1.28,253.41,0,0,0,0
2022-04-09 00:00:00,Apples,197,1.28,252.01,0,0,1,0
2022-04-10 00:00:00,Apples,193,1.28,246.85,0,0,1,0
2022-04-11 00:00:00,Apples,206,1.28,263.25,0,0,0,0
2022-04-12 00:00:00,Apples,231,1.28,295.16,0,0,0,0
2022-04-13 00:00:00,Apples,236,1.28,301.23,0,0,0,0
2022-04-14 00:00:00,Apples,259,1.2,311.9,1,0,0,0
2022-04-15 00:00:00,Apples,241,1.17,281.55,1,0,0,0
2022-04-16 00:00:00,Apples,254,1.18,300.03,1,0,1,0
2022-04-17 00:00:00,Apples,250,1.18,293.81,1,0,1,0
2022-04-18 00:00:00,Apples,248,1.18,292.67,1,0,0,0
2022-04-19 00:00:00,Apples,247,1.12,277.73,1,0,0,0
2022-04-20 00:00:00,Apples,237,1.28,302.27,0,0,0,0
2022-04-21 00:00:00,Apples,213,1.28,271.65,0,0,0,0
2022-04-22 00:00:00,Apples,205,1.28,261.83,0,0,0,0
2022-04-23 00:00:00,Apples,213,1.28,272.19,0,0,1,0
2022-04-24 00:00:00,Apples,207,1.28,264.46,0,0,1,0
2022-04-25 00:00:00,Apples,226,1.28,288.46,0,0,0,0
2022-04-26 00:00:00,Apples,230,1.27,293.2,0,0,0,0
2022-04-27 00:00:00,Apples,224,1.27,285.51,0,0,0,0
2022-04-28 00:00:00,Apples,211,1.28,269.32,0,0,0,0
2022-04-29 00:00:00,Apples,202,1.28,257.87,0,0,0,0
2022-04-30 00:00:00,Apples,195,1.28,249.16,0,0,1,0
2022-05-01 00:00:00,Apples,194,1.28,247.81,0,0,1,0
2022-05-02 00:00:00,Apples,209,1.28,266.84,0,0,0,0
2022-05-03 00:00:00,Apples,213,1.28,272.28,0,0,0,0
2022-05-04 00:00:00,Apples,224,1.28,286.56,0,0,0,0
2022-05-05 00:00:00,Apples,182,1.28,232.57,0,0,0,0
2022-05-06 00:00:00,Apples,194,1.28,247.43,0,0,0,0
2022-05-07 00:00:00,Apples,206,1.28,262.92,0,0,1,0
2022-05-08 00:00:00,Apples,224,1.28,285.97,0,0,1,0
2022-05-09 00:00:00,Apples,196,1.28,250.19,0,0,0,0
2022-05-10 00:00:00,Apples,207,1.28,264.29,0,0,0,0
2022-05-11 00:00:00,Apples,221,1.28,282.5,0,0,0,0
2022-05-12 00:00:00,Apples,209,1.28,266.91,0,0,0,0
2022-05-13 00:00:00,Apples,235,1.13,266,1,0,0,0
2022-05-14 00:00:00,Apples,245,1.14,280.04,1,0,1,0
2022-05-15 00:00:00,Apples,244,1.18,286.89,1,0,1,0
2022-05-16 00:00:00,Apples,259,1.14,295.56,1,0,0,0
2022-05-17 00:00:00,Apples,260,1.21,314.26,1,0,0,0
2022-05-18 00:00:00,Apples,274,1.2,329.26,1,0,0,0
2022-05-19 00:00:00,Apples,223,1.28,284.44,0,0,0,0
2022-05-20 00:00:00,Apples,168,1.28,214.32,0,0,0,0
2022-05-21 00:00:00,Apples,212,1.27,270.08,0,0,1,0
2022-05-22 00:00:00,Apples,211,1.27,268.37,0,0,1,0
2022-05-23 00:00:00,Apples,190,1.27,241.66,0,0,0,0
2022-05-24 00:00:00,Apples,223,1.27,283.6,0,0,0,0
2022-05-25 00:00:00,Apples,220,1.27,279.47,0,0,0,0
2022-05-26 00:00:00,Apples,212,1.27,269.34,0,0,0,0
2022-05-27 00:00:00,Apples,194,1.27,246.36,0,0,0,0
2022-05-28 00:00:00,Apples,203,1.27,257.86,0,0,1,0
2022-05-29 00:00:00,Apples,201,1.27,255.54,0,0,1,0
2022-05-30 00:00:00,Apples,238,1.27,302.22,0,1,0,0
2022-05-31 00:00:00,Apples,228,1.27,289.48,0,0,0,0
2022-06-01 00:00:00,Apples,215,1.27,273.24,0,0,0,0
2022-06-02 00:00:00,Apples,196,1.27,249.63,0,0,0,0
2022-06-03 00:00:00,Apples,207,1.27,263.67,0,0,0,0
2022-06-04 00:00:00,Apples,191,1.27,243.27,0,0,1,0
2022-06-05 00:00:00,Apples,194,1.28,247.48,0,0,1,0
2022-06-06 00:00:00,Apples,201,1.28,256.58,0,0,0,0
2022-06-07 00:00:00,Apples,219,1.28,279.86,0,0,0,0
2022-06-08 00:00:00,Apples,222,1.28,283.75,0,0,0,0
2022-06-09 00:00:00,Apples,214,1.28,273.65,0,0,0,0
2022-06-10 00:00:00,Apples,190,1.28,243.1,0,0,0,0
2022-06-11 00:00:00,Apples,195,1.28,249.43,0,0,1,0
2022-06-12 00:00:00,Apples,216,1.28,276.19,0,0,1,0
2022-06-13 00:00:00,Apples,194,1.28,247.99,0,0,0,0
2022-06-14 00:00:00,Apples,208,1.28,266.03,0,0,0,0
2022-06-15 00:00:00,Apples,214,1.28,274.33,0,0,0,0
2022-06-16 00:00:00,Apples,209,1.28,267.64,0,0,0,0
2022-06-17 00:00:00,Apples,199,1.28,254.71,0,0,0,0
2022-06-18 00:00:00,Apples,186,1.28,238.26,0,0,1,0
2022-06-19 00:00:00,Apples,196,1.28,251.17,0,0,1,0
2022-06-20 00:00:00,Apples,205,1.28,263.12,0,1,0,0
2022-06-21 00:00:00,Apples,215,1.28,275.37,0,0,0,0
2022-06-22 00:00:00,Apples,208,1.28,266.84,0,0,0,0
2022-06-23 00:00:00,Apples,200,1.28,256.74,0,0,0,0
2022-06-24 00:00:00,Apples,190,1.28,244.06,0,0,0,0
2022-06-25 00:00:00,Apples,181,1.28,232.46,0,0,1,0
2022-06-26 00:00:00,Apples,204,1.28,262.07,0,0,1,0
2022-06-27 00:00:00,Apples,200,1.28,256.57,0,0,0,0
2022-06-28 00:00:00,Apples,206,1.28,264.25,0,0,0,0
2022-06-29 00:00:00,Apples,226,1.28,289.91,0,0,0,0
2022-06-30 00:00:00,Apples,201,1.28,257.82,0,0,0,0
2022-07-01 00:00:00,Apples,183,1.28,234.64,0,0,0,0
2022-07-02 00:00:00,Apples,175,1.28,224.28,0,0,1,0
2022-07-03 00:00:00,Apples,198,1.28,253.77,0,0,1,0
2022-07-04 00:00:00,Apples,217,1.28,278.36,0,1,0,0
2022-07-05 00:00:00,Apples,209,1.28,268.26,0,0,0,0
2022-07-06 00:00:00,Apples,188,1.28,241.26,0,0,0,0
2022-07-07 00:00:00,Apples,193,1.28,247.57,0,0,0,0
2022-07-08 00:00:00,Apples,175,1.28,224.4,0,0,0,0
2022-07-09 00:00:00,Apples,246,1.17,287.38,1,0,1,0
2022-07-10 00:00:00,Apples,223,1.14,254.41,1,0,1,0
2022-07-11 00:00:00,Apples,233,1.18,275.1,1,0,0,0
2022-07-12 00:00:00,Apples,259,1.14,296.41,1,0,0,0
2022-07-13 00:00:00,Apples,255,1.15,292.3,1,0,0,0
2022-07-14 00:00:00,Apples,250,1.16,290.42,1,0,0,0
2022-07-15 00:00:00,Apples,181,1.28,231.27,0,0,0,0
2022-07-16 00:00:00,Apples,189,1.28,241.09,0,0,1,0
2022-07-17 00:00:00,Apples,177,1.28,225.71,0,0,1,0
2022-07-18 00:00:00,Apples,189,1.27,240.86,0,0,0,0
2022-07-19 00:00:00,Apples,198,1.27,251.91,0,0,0,0
2022-07-20 00:00:00,Apples,222,1.27,282.4,0,0,0,0
2022-07-21 00:00:00,Apples,207,1.27,263.61,0,0,0,0
2022-07-22 00:00:00,Apples,181,1.27,230.68,0,0,0,0
2022-07-23 00:00:00,Apples,180,1.28,229.54,0,0,1,0
2022-07-24 00:00:00,Apples,179,1.28,228.4,0,0,1,0
2022-07-25 00:00:00,Apples,177,1.28,225.81,0,0,0,0
2022-07-26 00:00:00,Apples,205,1.27,261.11,0,0,0,0
2022-07-27 00:00:00,Apples,204,1.27,259.8,0,0,0,0
2022-07-28 00:00:00,Apples,179,1.28,228.33,0,0,0,0
2022-07-29 00:00:00,Apples,202,1.28,257.81,0,0,0,0
2022-07-30 00:00:00,Apples,180,1.28,229.93,0,0,1,0
2022-07-31 00:00:00,Apples,194,1.28,247.82,0,0,1,0
2022-08-01 00:00:00,Apples,200,1.28,255.54,0,0,0,0
2022-08-02 00:00:00,Apples,192,1.28,245.37,0,0,0,0
2022-08-03 00:00:00,Apples,210,1.28,268.81,0,0,0,0
2022-08-04 00:00:00,Apples,190,1.28,243.54,0,0,0,0
2022-08-05 00:00:00,Apples,164,1.28,210.09,0,0,0,0
2022-08-06 00:00:00,Apples,170,1.28,217.98,0,0,1,0
2022-08-07 00:00:00,Apples,175,1.28,224.14,0,0,1,0
2022-08-08 00:00:00,Apples,192,1.28,245.59,0,0,0,0
2022-08-09 00:00:00,Apples,164,1.28,209.85,0,0,0,0
2022-08-10 00:00:00,Apples,202,1.28,258.83,0,0,0,0
2022-08-11 00:00:00,Apples,196,1.28,251.06,0,0,0,0
2022-08-12 00:00:00,Apples,203,1.28,259.99,0,0,0,0
2022-08-13 00:00:00,Apples,223,1.2,268.19,1,0,1,0
2022-08-14 00:00:00,Apples,238,1.16,274.96,1,0,1,0
2022-08-15 00:00:00,Apples,224,1.18,264.49,1,0,0,0
2022-08-16 00:00:00,Apples,241,1.18,284.89,1,0,0,0
2022-08-17 00:00:00,Apples,234,1.21,282.75,1,0,0,0
2022-08-18 00:00:00,Apples,235,1.2,281.86,1,0,0,0
2022-08-19 00:00:00,Apples,179,1.28,228.77,0,0,0,0
2022-08-20 00:00:00,Apples,176,1.28,225.26,0,0,1,0
2022-08-21 00:00:00,Apples,182,1.28,232.73,0,0,1,0
2022-08-22 00:00:00,Apples,191,1.28,244.44,0,0,0,0
2022-08-23 00:00:00,Apples,191,1.28,244.32,0,0,0,0
2022-08-24 00:00:00,Apples,198,1.28,253.19,0,0,0,0
2022-08-25 00:00:00,Apples,184,1.28,235.35,0,0,0,0
2022-08-26 00:00:00,Apples,175,1.28,223.88,0,0,0,0
2022-08-27 00:00:00,Apples,184,1.28,235.06,0,0,1,0
2022-08-28 00:00:00,Apples,177,1.28,226.2,0,0,1,0
2022-08-29 00:00:00,Apples,162,1.28,207.19,0,0,0,0
2022-08-30 00:00:00,Apples,178,1.28,227.33,0,0,0,0
2022-08-31 00:00:00,Apples,184,1.28,235.25,0,0,0,0
2022-09-01 00:00:00,Apples,178,1.28,227.29,0,0,0,0
2022-09-02 00:00:00,Apples,179,1.28,228.83,0,0,0,0
2022-09-03 00:00:00,Apples,151,1.28,193.16,0,0,1,0
2022-09-04 00:00:00,Apples,173,1.28,221.69,0,0,1,0
2022-09-05 00:00:00,Apples,181,1.28,231.68,0,1,0,0
2022-09-06 00:00:00,Apples,193,1.28,246.94,0,0,0,0
2022-09-07 00:00:00,Apples,196,1.28,250.57,0,0,0,0
2022-09-08 00:00:00,Apples,196,1.28,250.97,0,0,0,0
2022-09-09 00:00:00,Apples,172,1.28,220.78,0,0,0,0
2022-09-10 00:00:00,Apples,164,1.28,210.43,0,0,1,0
2022-09-11 00:00:00,Apples,184,1.29,236.44,0,0,1,0
2022-09-12 00:00:00,Apples,190,1.29,244.36,0,0,0,0
2022-09-13 00:00:00,Apples,191,1.29,245.94,0,0,0,0
2022-09-14 00:00:00,Apples,201,1.29,258.49,0,0,0,0
2022-09-15 00:00:00,Apples,183,1.29,235.43,0,0,0,0
2022-09-16 00:00:00,Apples,164,1.29,211.01,0,0,0,0
2022-09-17 00:00:00,Apples,170,1.28,218.33,0,0,1,0
2022-09-18 00:00:00,Apples,166,1.29,213.52,0,0,1,0
2022-09-19 00:00:00,Apples,176,1.29,226.38,0,0,0,0
2022-09-20 00:00:00,Apples,180,1.29,231.49,0,0,0,0
2022-09-21 00:00:00,Apples,187,1.28,240.26,0,0,0,0
2022-09-22 00:00:00,Apples,171,1.28,219.72,0,0,0,0
2022-09-23 00:00:00,Apples,165,1.28,211.69,0,0,0,0
2022-09-24 00:00:00,Apples,178,1.28,228.32,0,0,1,0
2022-09-25 00:00:00,Apples,187,1.28,239.66,0,0,1,0
2022-09-26 00:00:00,Apples,172,1.28,220.39,0,0,0,0
2022-09-27 00:00:00,Apples,184,1.28,235.64,0,0,0,0
2022-09-28 00:00:00,Apples,188,1.28,240.66,0,0,0,0
2022-09-29 00:00:00,Apples,166,1.28,212.27,0,0,0,0
2022-09-30 00:00:00,Apples,162,1.28,207.38,0,0,0,0
2022-10-01 00:00:00,Apples,173,1.28,221.41,0,0,1,0
2022-10-02 00:00:00,Apples,170,1.28,217.27,0,0,1,0
2022-10-03 00:00:00,Apples,174,1.28,222.23,0,0,0,0
2022-10-04 00:00:00,Apples,196,1.28,250.37,0,0,0,0
2022-10-05 00:00:00,Apples,201,1.28,256.37,0,0,0,0
2022-10-06 00:00:00,Apples,197,1.28,251.69,0,0,0,0
2022-10-07 00:00:00,Apples,159,1.28,203.03,0,0,0,0
2022-10-08 00:00:00,Apples,174,1.28,222.24,0,0,1,0
2022-10-09 00:00:00,Apples,172,1.28,220.04,0,0,1,0
2022-10-10 00:00:00,Apples,212,1.28,271.43,0,1,0,0
2022-10-11 00:00:00,Apples,199,1.28,254.62,0,0,0,0
2022-10-12 00:00:00,Apples,206,1.28,263.33,0,0,0,0
2022-10-13 00:00:00,Apples,176,1.28,225.15,0,0,0,0
2022-10-14 00:00:00,Apples,176,1.28,224.98,0,0,0,0
2022-10-15 00:00:00,Apples,175,1.28,223.78,0,0,1,0
2022-10-16 00:00:00,Apples,166,1.28,212.37,0,0,1,0
2022-10-17 00:00:00,Apples,159,1.28,203.67,0,0,0,0
2022-10-18 00:00:00,Apples,185,1.28,237.09,0,0,0,0
2022-10-19 00:00:00,Apples,193,1.28,247.4,0,0,0,0
2022-10-20 00:00:00,Apples,183,1.28,234.57,0,0,0,0
2022-10-21 00:00:00,Apples,192,1.28,246.06,0,0,0,0
2022-10-22 00:00:00,Apples,189,1.28,242.11,0,0,1,0
2022-10-23 00:00:00,Apples,196,1.28,250.86,0,0,1,0
2022-10-24 00:00:00,Apples,172,1.28,219.89,0,0,0,0
2022-10-25 00:00:00,Apples,178,1.28,227.5,0,0,0,0
2022-10-26 00:00:00,Apples,174,1.28,222.19,0,0,0,0
2022-10-27 00:00:00,Apples,191,1.28,244.01,0,0,0,0
2022-10-28 00:00:00,Apples,173,1.28,221.06,0,0,0,0
2022-10-29 00:00:00,Apples,189,1.28,241.44,0,0,1,0
2022-10-30 00:00:00,Apples,166,1.28,212.11,0,0,1,0
2022-10-31 00:00:00,Apples,161,1.28,206.16,0,0,0,0
2022-11-01 00:00:00,Apples,191,1.28,244.94,0,0,0,0
2022-11-02 00:00:00,Apples,194,1.28,248.42,0,0,0,0
2022-11-03 00:00:00,Apples,179,1.28,229.2,0,0,0,0
2022-11-04 00:00:00,Apples,171,1.28,218.61,0,0,0,0
2022-11-05 00:00:00,Apples,187,1.28,239,0,0,1,0
2022-11-06 00:00:00,Apples,209,1.28,267.12,0,0,1,0
2022-11-07 00:00:00,Apples,179,1.28,229.03,0,0,0,0
2022-11-08 00:00:00,Apples,191,1.28,244.87,0,0,0,0
2022-11-09 00:00:00,Apples,186,1.28,238.33,0,0,0,0
2022-11-10 00:00:00,Apples,185,1.28,236.76,0,0,0,0
2022-11-11 00:00:00,Apples,182,1.28,233.12,0,1,0,0
2022-11-12 00:00:00,Apples,183,1.28,234.53,0,0,1,0
2022-11-13 00:00:00,Apples,188,1.28,240.97,0,0,1,0
2022-11-14 00:00:00,Apples,210,1.28,269.04,0,0,0,0
2022-11-15 00:00:00,Apples,189,1.28,242,0,0,0,0
2022-11-16 00:00:00,Apples,192,1.28,245.78,0,0,0,0
2022-11-17 00:00:00,Apples,185,1.28,237.07,0,0,0,0
2022-11-18 00:00:00,Apples,172,1.28,220.73,0,0,0,0
2022-11-19 00:00:00,Apples,171,1.28,219.5,0,0,1,0
2022-11-20 00:00:00,Apples,174,1.28,223.44,0,0,1,0
2022-11-21 00:00:00,Apples,211,1.13,239.13,1,0,0,0
2022-11-22 00:00:00,Apples,248,1.18,292.83,1,0,0,0
2022-11-23 00:00:00,Apples,236,1.2,283.32,1,0,0,0
2022-11-24 00:00:00,Apples,256,1.14,291.81,1,1,0,0
2022-11-25 00:00:00,Apples,229,1.13,258.67,1,0,0,0
2022-11-26 00:00:00,Apples,230,1.16,266.09,1,0,1,0
2022-11-27 00:00:00,Apples,230,1.14,261.17,1,0,1,0
2022-11-28 00:00:00,Apples,188,1.28,240.67,0,0,0,0
2022-11-29 00:00:00,Apples,201,1.28,257.72,0,0,0,0
2022-11-30 00:00:00,Apples,201,1.28,257.79,0,0,0,0
2022-12-01 00:00:00,Apples,191,1.28,244.73,0,0,0,0
2022-12-02 00:00:00,Apples,178,1.28,228.61,0,0,0,0
2022-12-03 00:00:00,Apples,184,1.29,236.7,0,0,1,0
2022-12-04 00:00:00,Apples,196,1.29,252.19,0,0,1,0
2022-12-05 00:00:00,Apples,186,1.29,239.41,0,0,0,0
2022-12-06 00:00:00,Apples,208,1.29,267.7,0,0,0,0
2022-12-07 00:00:00,Apples,224,1.29,288.64,0,0,0,0
2022-12-08 00:00:00,Apples,201,1.29,259.08,0,0,0,0
2022-12-09 00:00:00,Apples,187,1.29,241.03,0,0,0,0
2022-12-10 00:00:00,Apples,189,1.29,243.29,0,0,1,0
2022-12-11 00:00:00,Apples,188,1.29,242.25,0,0,1,0
2022-12-12 00:00:00,Apples,176,1.29,226.55,0,0,0,0
2022-12-13 00:00:00,Apples,180,1.29,231.84,0,0,0,0
2022-12-14 00:00:00,Apples,205,1.29,263.58,0,0,0,0
2022-12-15 00:00:00,Apples,205,1.29,263.43,0,0,0,0
2022-12-16 00:00:00,Apples,181,1.29,232.6,0,0,0,0
2022-12-17 00:00:00,Apples,229,1.22,278.24,1,0,1,0
2022-12-18 00:00:00,Apples,252,1.21,304.28,1,0,1,0
2022-12-19 00:00:00,Apples,250,1.19,297.37,1,0,0,0
2022-12-20 00:00:00,Apples,260,1.14,295.77,1,0,0,0
2022-12-21 00:00:00,Apples,239,1.16,276.97,1,0,0,0
2022-12-22 00:00:00,Apples,248,1.16,286.96,1,0,0,0
2022-12-23 00:00:00,Apples,229,1.2,274.24,1,0,0,0
2022-12-24 00:00:00,Apples,215,1.15,247.44,1,0,1,0
2022-12-25 00:00:00,Apples,232,1.2,277.74,1,0,1,0
2022-12-26 00:00:00,Apples,271,1.16,314.84,1,1,0,0
2022-12-27 00:00:00,Apples,265,1.21,320.64,1,0,0,0
2022-12-28 00:00:00,Apples,250,1.19,296.68,1,0,0,0
2022-12-29 00:00:00,Apples,247,1.21,299.34,1,0,0,0
2022-12-30 00:00:00,Apples,219,1.21,265.71,1,0,0,0
2022-12-31 00:00:00,Apples,233,1.2,280.55,1,0,1,0
2023-01-01 00:00:00,Apples,196,1.28,250.79,0,0,1,0
2023-01-02 00:00:00,Apples,236,1.28,301.97,0,1,0,0
2023-01-03 00:00:00,Apples,199,1.28,254.97,0,0,0,0
2023-01-04 00:00:00,Apples,219,1.28,280.77,0,0,0,0
2023-01-05 00:00:00,Apples,215,1.28,275.81,0,0,0,0
2023-01-06 00:00:00,Apples,197,1.28,252.58,0,0,0,0
2023-01-07 00:00:00,Apples,200,1.28,256.42,0,0,1,0
2023-01-08 00:00:00,Apples,176,1.28,225.83,0,0,1,0
2023-01-09 00:00:00,Apples,190,1.28,243.45,0,0,0,0
2023-01-10 00:00:00,Apples,208,1.28,266.63,0,0,0,0
2023-01-11 00:00:00,Apples,223,1.28,285.94,0,0,0,0
2023-01-12 00:00:00,Apples,209,1.28,267.72,0,0,0,0
2023-01-13 00:00:00,Apples,184,1.28,235.86,0,0,0,0
2023-01-14 00:00:00,Apples,193,1.28,247.5,0,0,1,0
2023-01-15 00:00:00,Apples,194,1.28,249.15,0,0,1,0
2023-01-16 00:00:00,Apples,223,1.28,286.35,0,1,0,0
2023-01-17 00:00:00,Apples,221,1.28,283.86,0,0,0,0
2023-01-18 00:00:00,Apples,220,1.28,282.69,0,0,0,0
2023-01-19 00:00:00,Apples,215,1.28,276.17,0,0,0,0
2023-01-20 00:00:00,Apples,194,1.29,249.7,0,0,0,0
2023-01-21 00:00:00,Apples,215,1.29,276.77,0,0,1,0
2023-01-22 00:00:00,Apples,211,1.29,271.48,0,0,1,0
2023-01-23 00:00:00,Apples,196,1.29,252.29,0,0,0,0
2023-01-24 00:00:00,Apples,213,1.29,274.26,0,0,0,0
2023-01-25 00:00:00,Apples,223,1.29,286.77,0,0,0,0
2023-01-26 00:00:00,Apples,194,1.29,249.4,0,0,0,0
2023-01-27 00:00:00,Apples,205,1.29,263.47,0,0,0,0
2023-01-28 00:00:00,Apples,188,1.28,241.55,0,0,1,0
2023-01-29 00:00:00,Apples,194,1.29,249.65,0,0,1,0
2023-01-30 00:00:00,Apples,213,1.29,274.09,0,0,0,0
2023-01-31 00:00:00,Apples,213,1.29,273.73,0,0,0,0
2023-02-01 00:00:00,Apples,198,1.29,255.19,0,0,0,0
